"","COW_ALPHA","leftright","year","sex","age"
"617","USA",5,1995,1,77
"618","USA",5,1995,2,69
"619","USA",10,1995,1,39
"620","USA",7,1995,2,68
"621","USA",9,1995,1,77
"622","USA",7,1995,2,40
"623","USA",6,1995,1,71
"624","USA",5,1995,2,80
"625","USA",5,1995,2,39
"626","USA",NA,1995,2,60
"627","USA",8,1995,2,26
"628","USA",6,1995,1,68
"629","USA",6,1995,1,37
"630","USA",8,1995,1,43
"631","USA",6,1995,2,44
"632","USA",8,1995,1,50
"633","USA",6,1995,1,47
"634","USA",5,1995,2,47
"635","USA",10,1995,2,49
"636","USA",NA,1995,2,38
"637","USA",NA,1995,1,65
"638","USA",5,1995,2,19
"639","USA",NA,1995,2,32
"640","USA",6,1995,2,44
"641","USA",6,1995,1,35
"642","USA",5,1995,1,30
"643","USA",9,1995,1,35
"644","USA",6,1995,2,50
"645","USA",6,1995,2,59
"646","USA",9,1995,2,53
"647","USA",9,1995,1,45
"648","USA",8,1995,1,30
"649","USA",7,1995,1,24
"650","USA",9,1995,1,30
"651","USA",NA,1995,2,86
"652","USA",5,1995,1,46
"653","USA",5,1995,2,34
"654","USA",9,1995,1,66
"655","USA",NA,1995,1,55
"656","USA",NA,1995,2,66
"657","USA",5,1995,2,48
"658","USA",NA,1995,1,28
"659","USA",5,1995,2,70
"660","USA",NA,1995,2,27
"661","USA",NA,1995,1,86
"662","USA",7,1995,1,42
"663","USA",8,1995,1,26
"664","USA",10,1995,1,44
"665","USA",6,1995,2,19
"666","USA",NA,1995,2,69
"667","USA",6,1995,2,34
"668","USA",5,1995,1,42
"669","USA",NA,1995,2,31
"670","USA",6,1995,1,66
"671","USA",7,1995,1,80
"672","USA",1,1995,2,72
"673","USA",6,1995,1,18
"674","USA",5,1995,2,33
"675","USA",3,1995,2,28
"676","USA",5,1995,2,49
"677","USA",6,1995,2,-1
"678","USA",5,1995,1,69
"679","USA",5,1995,2,53
"680","USA",9,1995,1,37
"681","USA",8,1995,1,78
"682","USA",5,1995,2,60
"683","USA",7,1995,1,34
"684","USA",5,1995,2,37
"685","USA",4,1995,1,83
"686","USA",5,1995,2,35
"687","USA",5,1995,1,67
"688","USA",5,1995,2,67
"689","USA",7,1995,2,32
"690","USA",8,1995,2,79
"691","USA",6,1995,1,53
"692","USA",8,1995,1,77
"693","USA",5,1995,1,41
"694","USA",5,1995,2,70
"695","USA",6,1995,2,75
"696","USA",7,1995,1,51
"697","USA",2,1995,2,58
"698","USA",9,1995,1,38
"699","USA",5,1995,2,58
"700","USA",6,1995,2,21
"701","USA",NA,1995,1,35
"702","USA",6,1995,2,19
"703","USA",6,1995,2,56
"704","USA",5,1995,1,82
"705","USA",3,1995,2,51
"706","USA",2,1995,1,43
"707","USA",3,1995,1,49
"708","USA",6,1995,2,74
"709","USA",NA,1995,2,60
"710","USA",6,1995,1,46
"711","USA",6,1995,2,28
"712","USA",6,1995,1,62
"713","USA",6,1995,2,83
"714","USA",6,1995,1,55
"715","USA",7,1995,1,36
"716","USA",5,1995,2,58
"717","USA",3,1995,1,39
"718","USA",NA,1995,1,21
"719","USA",NA,1995,2,26
"720","USA",7,1995,1,25
"721","USA",10,1995,1,77
"722","USA",2,1995,2,22
"723","USA",5,1995,2,29
"724","USA",5,1995,2,64
"725","USA",5,1995,1,45
"726","USA",4,1995,1,52
"727","USA",5,1995,1,72
"728","USA",6,1995,1,78
"729","USA",5,1995,2,54
"730","USA",8,1995,2,42
"731","USA",5,1995,1,42
"732","USA",3,1995,1,35
"733","USA",5,1995,1,50
"734","USA",8,1995,1,66
"735","USA",3,1995,2,38
"736","USA",7,1995,2,60
"737","USA",2,1995,1,38
