"","SortID","InstanceID","sms_dataid","sms_id","treatment","surveygroup","panel","sarajevocity","sarajevosurvey","panelcity","allwave","nationwave","panelwave","wave3","entity","rs","federation","region","type","urban","rural","municipality","municipality2","municipality3","centar","novigrad","novosarajevo","starigrad","sarajevocanton","panelcitycanton","tuzla","banjaluka","ethnicity","Bosniak","Croat","Serb","Bosnian","other","bosniakfavorable","croatfavorable","serbfavorable","ethnocentric","Men","age","Education","unemployed","religious","voteeu","heardofpride","prideknowledge","supportpride","rightspride","rightsnopride","rightsyesnopride","metgay","closetogay","gayrights","knewvictim","alphaclosecontact","GayActivistTreatment","HomophobeTreatment","AttendPride","ProtestPride","dgbias","magdgbias","dgprogay","dgantigay","municipalitystr","municipalcode","hadzic_merge","ethnic_vote_share","casualty","log_casualty","hhi_sb","hhi_cb","hhi_sc","pop_density","log_pop_density","refugees","cem_strata","cem_matched","cem_weights"
"1422",1422,366553,NA,NA,0,1,0,0,0,3,1,1,NA,0,3,0,0,13,1,1,1,200,200,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,2,1,0,70,2,0,3,1,0,2,1,0,0,NA,1,0,4,1,1.5,1,0,1,1,1,1000,0,1000,"Brcko",200,3,81.5674133300781,1.89439332485199,0.638898611068726,0.366000175476074,0.372424185276031,0.232811704277992,177.742401123047,5.180335521698,7.43378162384033,23,1,0.599806623156877
"1423",1423,361660,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,3,2,0,2,42,42,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,2,1,1,42,6,0,3,1,1,1,1,0,0,NA,1,9,3,1,3.5,1,0,1,1,1,800,100,900,"Maglaj",42,3,64.5067901611328,1.99133396148682,0.688804745674133,0.392639189958572,0.373695403337479,0.262814313173294,112.696105957031,4.72469472885132,2.42002391815186,14,1,1.04176939811458
"1424",1424,369108,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,2,1,1,1,50,50,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,1,1,1,0,0,47,5,0,2,1,1,NA,1,0,0,NA,1,0,2,1,1,1,0,1,1,1,600,200,800,"Tuzla",50,3,51.9989204406738,1.02493584156036,0.0246299766004086,0.397412896156311,0.39727771282196,0.154497846961021,434.382843017578,6.07392644882202,1.2543877363205,15,1,0.982467316828529
"1425",1425,368984,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,2,1,1,1,79,79,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,1,1,0,1,30,6,0,2,1,1,3,2,0,0,NA,1,0,2,1,1,1,0,1,1,1,400,300,700,"Zivince",79,3,65.7695236206055,0.795867323875427,-0.228322774171829,0.748676061630249,0.742927312850952,0.0687085092067719,188.257736206055,5.23781204223633,1.62094080448151,9,1,0.847774216940747
"1426",1426,363987,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,12,1,1,1,167,167,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,2,1,0,29,6,0,2,0,1,2,2,0,0,NA,1,0,2,2,1.25,1,0,1,9,1,1000,0,1000,"Gorazde",167,3,67.5484390258789,4.28499174118042,1.45511865615845,0.580597162246704,0.697748005390167,0.259875178337097,99.6631317138672,4.60179567337036,3.56905221939087,9,1,0.847774216940747
"1427",1427,365175,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,1,2,0,2,2,2,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,2,1,1,50,5,0,2,1,1,4,2,0,0,NA,3,0,1,1,1.25,1,0,1,1,1,1000,0,1000,"Cazin",2,3,80.5432434082031,1.46666872501373,0.382993698120117,0.960973620414734,0.970755338668823,0.0107420021668077,178.115173339844,5.18243026733398,2.14322876930237,18,1,1.19412302550683
"1428",1428,368189,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,9,1,1,1,9,9,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,2,2,2,0,0,18,6,0,1,1,1,3,1,0,0,NA,3,0,1,2,1.5,1,0,1,2,1,1000,0,1000,"Prijedor",9,3,92.0699234008789,4.68532037734985,1.54443430900574,0.430787891149521,0.395122140645981,0.37981304526329,134.943649291992,4.90485715866089,12.463680267334,1,1,0.85075158859896
"1429",1429,369266,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,10,2,0,2,29,29,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,2,2,1,1,1,30,6,1,2,1,1,1,1,0,0,NA,1,0,1,2,1,1,0,1,1,1,1000,0,1000,"Bijeljina",29,3,94.1309661865234,1.07435977458954,0.0717248693108559,0.495097905397415,0.30676743388176,0.586725831031799,132.136245727539,4.88383340835571,9.34961032867432,10,1,1.3191235885217
"1430",1430,370149,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,3,2,0,2,94,94,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,1,2,1,1,40,5,0,3,1,1,1,1,0,0,NA,1,0,1,1,0.75,1,0,1,NA,1,1000,0,1000,"Kakanj",94,3,76.0170135498047,1.01519215106964,0.0150778908282518,0.482026726007462,0.45782071352005,0.248232021927834,148.408493041992,4.99996852874756,3.00983023643494,14,1,1.04176939811458
"1431",1431,361330,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,4,2,0,2,129,129,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,NA,1,NA,1,1,23,7,0,2,0,1,1,1,0,0,NA,1,0,1,1,0.75,1,0,1,1,1,1000,0,1000,"Kresevo",129,3,88.7438125610352,1.66394293308258,0.509190082550049,0.222623288631439,0.584410667419434,0.69536280632019,45.1744956970215,3.81053256988525,2.21363830566406,2,1,1.02222682643277
